"interaction","name","selected","shared interaction","shared name"
"interacts with","KRAS (interacts with)  STT3B","false","interacts with","KRAS (interacts with)  STT3B"
"interacts with","KRAS (interacts with)  PDXDC1","false","interacts with","KRAS (interacts with)  PDXDC1"
"interacts with","KRAS (interacts with)  ALDH3A2","false","interacts with","KRAS (interacts with)  ALDH3A2"
"interacts with","KRAS (interacts with)  FLVCR1","false","interacts with","KRAS (interacts with)  FLVCR1"
"interacts with","KRAS (interacts with)  GNAS","false","interacts with","KRAS (interacts with)  GNAS"
"interacts with","KRAS (interacts with)  WDR20","false","interacts with","KRAS (interacts with)  WDR20"
"interacts with","KRAS (interacts with)  UNC5B","false","interacts with","KRAS (interacts with)  UNC5B"
"interacts with","KRAS (interacts with)  SOS2","false","interacts with","KRAS (interacts with)  SOS2"
"interacts with","KRAS (interacts with)  RFT1","false","interacts with","KRAS (interacts with)  RFT1"
"interacts with","KRAS (interacts with)  SLC16A1","false","interacts with","KRAS (interacts with)  SLC16A1"
"interacts with","KRAS (interacts with)  MTM1","false","interacts with","KRAS (interacts with)  MTM1"
"interacts with","KRAS (interacts with)  SLC30A7","false","interacts with","KRAS (interacts with)  SLC30A7"
"interacts with","KRAS (interacts with)  PPFIBP1","false","interacts with","KRAS (interacts with)  PPFIBP1"
"interacts with","KRAS (interacts with)  YWHAQ","false","interacts with","KRAS (interacts with)  YWHAQ"
"interacts with","KRAS (interacts with)  CHCHD3","false","interacts with","KRAS (interacts with)  CHCHD3"
"interacts with","KRAS (interacts with)  GPR50","false","interacts with","KRAS (interacts with)  GPR50"
"interacts with","KRAS (interacts with)  RAB11B","false","interacts with","KRAS (interacts with)  RAB11B"
"interacts with","KRAS (interacts with)  PDE4DIP","false","interacts with","KRAS (interacts with)  PDE4DIP"
"interacts with","KRAS (interacts with)  VKORC1L1","false","interacts with","KRAS (interacts with)  VKORC1L1"
"interacts with","KRAS (interacts with)  Q8N9N7","false","interacts with","KRAS (interacts with)  Q8N9N7"
"interacts with","KRAS (interacts with)  ANKRD50","false","interacts with","KRAS (interacts with)  ANKRD50"
"interacts with","KRAS (interacts with)  EIF3F","false","interacts with","KRAS (interacts with)  EIF3F"
"interacts with","KRAS (interacts with)  GPR107","false","interacts with","KRAS (interacts with)  GPR107"
"interacts with","KRAS (interacts with)  RABL3","false","interacts with","KRAS (interacts with)  RABL3"
"interacts with","KRAS (interacts with)  FAM114A2","false","interacts with","KRAS (interacts with)  FAM114A2"
"interacts with","KRAS (interacts with)  DHCR7","false","interacts with","KRAS (interacts with)  DHCR7"
"interacts with","KRAS (interacts with)  EXOC4","false","interacts with","KRAS (interacts with)  EXOC4"
"interacts with","KRAS (interacts with)  FANCC","false","interacts with","KRAS (interacts with)  FANCC"
"interacts with","KRAS (interacts with)  MAP4K3","false","interacts with","KRAS (interacts with)  MAP4K3"
"interacts with","KRAS (interacts with)  TPD52L2","false","interacts with","KRAS (interacts with)  TPD52L2"
"interacts with","KRAS (interacts with)  CAMLG","false","interacts with","KRAS (interacts with)  CAMLG"
"interacts with","KRAS (interacts with)  ECPAS","false","interacts with","KRAS (interacts with)  ECPAS"
"interacts with","KRAS (interacts with)  RER1","false","interacts with","KRAS (interacts with)  RER1"
"interacts with","KRAS (interacts with)  STX8","false","interacts with","KRAS (interacts with)  STX8"
"interacts with","KRAS (interacts with)  SLC19A1","false","interacts with","KRAS (interacts with)  SLC19A1"
"interacts with","KRAS (interacts with)  TMEM230","false","interacts with","KRAS (interacts with)  TMEM230"
"interacts with","KRAS (interacts with)  RNF185","false","interacts with","KRAS (interacts with)  RNF185"
"interacts with","KRAS (interacts with)  SPCS1","false","interacts with","KRAS (interacts with)  SPCS1"
"interacts with","KRAS (interacts with)  CCNY","false","interacts with","KRAS (interacts with)  CCNY"
"interacts with","KRAS (interacts with)  NUP155","false","interacts with","KRAS (interacts with)  NUP155"
"interacts with","KRAS (interacts with)  NCAM1","false","interacts with","KRAS (interacts with)  NCAM1"
"interacts with","KRAS (interacts with)  SEC22B","false","interacts with","KRAS (interacts with)  SEC22B"
"interacts with","KRAS (interacts with)  Q8N8Z6","false","interacts with","KRAS (interacts with)  Q8N8Z6"
"interacts with","KRAS (interacts with)  PCDH7","false","interacts with","KRAS (interacts with)  PCDH7"
"interacts with","KRAS (interacts with)  Q6UWN0","false","interacts with","KRAS (interacts with)  Q6UWN0"
"interacts with","KRAS (interacts with)  IGF2R","false","interacts with","KRAS (interacts with)  IGF2R"
"interacts with","KRAS (interacts with)  WLS","false","interacts with","KRAS (interacts with)  WLS"
"interacts with","KRAS (interacts with)  NDUFA13","false","interacts with","KRAS (interacts with)  NDUFA13"
"interacts with","KRAS (interacts with)  CACHD1","false","interacts with","KRAS (interacts with)  CACHD1"
"interacts with","KRAS (interacts with)  PIK3R2","false","interacts with","KRAS (interacts with)  PIK3R2"
"interacts with","KRAS (interacts with)  RAPGEF6","false","interacts with","KRAS (interacts with)  RAPGEF6"
"interacts with","KRAS (interacts with)  TMEM115","false","interacts with","KRAS (interacts with)  TMEM115"
"interacts with","KRAS (interacts with)  ZFPL1","false","interacts with","KRAS (interacts with)  ZFPL1"
"interacts with","KRAS (interacts with)  UACA","false","interacts with","KRAS (interacts with)  UACA"
"interacts with","KRAS (interacts with)  Rassf5","false","interacts with","KRAS (interacts with)  Rassf5"
"interacts with","KRAS (interacts with)  TMEM209","false","interacts with","KRAS (interacts with)  TMEM209"
"interacts with","KRAS (interacts with)  STX18","false","interacts with","KRAS (interacts with)  STX18"
"interacts with","KRAS (interacts with)  SRPRA","false","interacts with","KRAS (interacts with)  SRPRA"
"interacts with","KRAS (interacts with)  PLSCR3","false","interacts with","KRAS (interacts with)  PLSCR3"
"interacts with","KRAS (interacts with)  CYB5R1","false","interacts with","KRAS (interacts with)  CYB5R1"
"interacts with","KRAS (interacts with)  Q69YL0","false","interacts with","KRAS (interacts with)  Q69YL0"
"interacts with","KRAS (interacts with)  PHLDB2","false","interacts with","KRAS (interacts with)  PHLDB2"
"interacts with","KRAS (interacts with)  ZDHHC8","false","interacts with","KRAS (interacts with)  ZDHHC8"
"interacts with","KRAS (interacts with)  LZTR1","false","interacts with","KRAS (interacts with)  LZTR1"
"interacts with","KRAS (interacts with)  A6NIZ1","false","interacts with","KRAS (interacts with)  A6NIZ1"
"interacts with","KRAS (interacts with)  TBC1D10A","false","interacts with","KRAS (interacts with)  TBC1D10A"
"interacts with","KRAS (interacts with)  AFDN","false","interacts with","KRAS (interacts with)  AFDN"
"interacts with","KRAS (interacts with)  TMX4","false","interacts with","KRAS (interacts with)  TMX4"
"interacts with","KRAS (interacts with)  CISD1","false","interacts with","KRAS (interacts with)  CISD1"
"interacts with","KRAS (interacts with)  GOLGA5","false","interacts with","KRAS (interacts with)  GOLGA5"
"interacts with","KRAS (interacts with)  ARHGAP1","false","interacts with","KRAS (interacts with)  ARHGAP1"
"interacts with","KRAS (interacts with)  MTR","false","interacts with","KRAS (interacts with)  MTR"
"interacts with","KRAS (interacts with)  STXBP3","false","interacts with","KRAS (interacts with)  STXBP3"
"interacts with","KRAS (interacts with)  HYCC1","false","interacts with","KRAS (interacts with)  HYCC1"
"interacts with","KRAS (interacts with)  LEMD3","false","interacts with","KRAS (interacts with)  LEMD3"
"interacts with","KRAS (interacts with)  Flnb","false","interacts with","KRAS (interacts with)  Flnb"
"interacts with","KRAS (interacts with)  GPR31","false","interacts with","KRAS (interacts with)  GPR31"
"interacts with","KRAS (interacts with)  SYTL4","false","interacts with","KRAS (interacts with)  SYTL4"
"interacts with","KRAS (interacts with)  TBL2","false","interacts with","KRAS (interacts with)  TBL2"
"interacts with","KRAS (interacts with)  HK1","false","interacts with","KRAS (interacts with)  HK1"
"interacts with","KRAS (interacts with)  FAF2","false","interacts with","KRAS (interacts with)  FAF2"
"interacts with","KRAS (interacts with)  EI24","false","interacts with","KRAS (interacts with)  EI24"
